,country,year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
32,Uruguay,2019,33,6.293,1.124,1.465,0.891,0.523,0.15,0.127,0.0
33,Singapore,2019,34,6.262,1.572,1.463,1.141,0.556,0.453,0.271,0.0
34,El Salvador,2019,35,6.253,0.794,1.242,0.789,0.43,0.074,0.093,0.0
35,Italy,2019,36,6.223,1.294,1.488,1.039,0.231,0.03,0.158,0.0
36,Bahrain,2019,37,6.199,1.362,1.368,0.871,0.536,0.11,0.255,0.0
37,Slovakia,2019,38,6.198,1.246,1.504,0.881,0.334,0.014,0.121,0.0
38,Trinidad & Tobago,2019,39,6.192,1.231,1.477,0.713,0.489,0.016,0.185,0.0
39,Poland,2019,40,6.182,1.206,1.438,0.884,0.483,0.05,0.117,0.0
40,Uzbekistan,2019,41,6.174,0.745,1.529,0.756,0.631,0.24,0.322,0.0
41,Lithuania,2019,42,6.149,1.238,1.515,0.818,0.291,0.042,0.043,0.0
42,Colombia,2019,43,6.125,0.985,1.41,0.841,0.47,0.034,0.099,0.0
43,Slovenia,2019,44,6.118,1.258,1.523,0.953,0.564,0.057,0.144,0.0
44,Nicaragua,2019,45,6.105,0.694,1.325,0.835,0.435,0.127,0.2,0.0
45,Kosovo,2019,46,6.1,0.882,1.232,0.758,0.489,0.006,0.262,0.0
46,Argentina,2019,47,6.086,1.092,1.432,0.881,0.471,0.05,0.066,0.0
47,Romania,2019,48,6.07,1.162,1.232,0.825,0.462,0.005,0.083,0.0
48,Cyprus,2019,49,6.046,1.263,1.223,1.042,0.406,0.041,0.19,0.0
49,Ecuador,2019,50,6.028,0.912,1.312,0.868,0.498,0.087,0.126,0.0
50,Kuwait,2019,51,6.021,1.5,1.319,0.808,0.493,0.097,0.142,0.0
51,Thailand,2019,52,6.008,1.05,1.409,0.828,0.557,0.028,0.359,0.0
52,Latvia,2019,53,5.94,1.187,1.465,0.812,0.264,0.064,0.075,0.0
53,South Korea,2019,54,5.895,1.301,1.219,1.036,0.159,0.056,0.175,0.0
54,Estonia,2019,55,5.893,1.237,1.528,0.874,0.495,0.161,0.103,0.0
55,Jamaica,2019,56,5.89,0.831,1.478,0.831,0.49,0.028,0.107,0.0
56,Mauritius,2019,57,5.888,1.12,1.402,0.798,0.498,0.06,0.215,0.0
57,Japan,2019,58,5.886,1.327,1.419,1.088,0.445,0.14,0.069,0.0
58,Honduras,2019,59,5.86,0.642,1.236,0.828,0.507,0.078,0.246,0.0
59,Kazakhstan,2019,60,5.809,1.173,1.508,0.729,0.41,0.096,0.146,0.0
60,Bolivia,2019,61,5.779,0.776,1.209,0.706,0.511,0.064,0.137,0.0
61,Hungary,2019,62,5.758,1.201,1.41,0.828,0.199,0.02,0.081,0.0
62,Paraguay,2019,63,5.743,0.855,1.475,0.777,0.514,0.08,0.184,0.0
63,Northern Cyprus,2019,64,5.718,1.263,1.252,1.042,0.417,0.162,0.191,0.0
64,Peru,2019,65,5.697,0.96,1.274,0.854,0.455,0.027,0.083,0.0
65,Portugal,2019,66,5.693,1.221,1.431,0.999,0.508,0.025,0.047,0.0
66,Pakistan,2019,67,5.653,0.677,0.886,0.535,0.313,0.098,0.22,0.0
67,Russia,2019,68,5.648,1.183,1.452,0.726,0.334,0.031,0.082,0.0
68,Philippines,2019,69,5.631,0.807,1.293,0.657,0.558,0.107,0.117,0.0
69,Serbia,2019,70,5.603,1.004,1.383,0.854,0.282,0.039,0.137,0.0
70,Moldova,2019,71,5.529,0.685,1.328,0.739,0.245,0.0,0.181,0.0
71,Libya,2019,72,5.525,1.044,1.303,0.673,0.416,0.152,0.133,0.0
72,Montenegro,2019,73,5.523,1.051,1.361,0.871,0.197,0.08,0.142,0.0
73,Tajikistan,2019,74,5.467,0.493,1.098,0.718,0.389,0.144,0.23,0.0
74,Croatia,2019,75,5.432,1.155,1.266,0.914,0.296,0.022,0.119,0.0
75,Hong Kong,2019,76,5.43,1.438,1.277,1.122,0.44,0.287,0.258,0.0
76,Dominican Republic,2019,77,5.425,1.015,1.401,0.779,0.497,0.101,0.113,0.0
77,Bosnia and Herzegovina,2019,78,5.386,0.945,1.212,0.845,0.212,0.006,0.263,0.0
78,Turkey,2019,79,5.373,1.183,1.36,0.808,0.195,0.106,0.083,0.0
79,Malaysia,2019,80,5.339,1.221,1.171,0.828,0.508,0.024,0.26,0.0
80,Belarus,2019,81,5.323,1.067,1.465,0.789,0.235,0.142,0.094,0.0
81,Greece,2019,82,5.287,1.181,1.156,0.999,0.067,0.034,0.0,0.0
82,Mongolia,2019,83,5.285,0.948,1.531,0.667,0.317,0.038,0.235,0.0
83,North Macedonia,2019,84,5.274,0.983,1.294,0.838,0.345,0.034,0.185,0.0
84,Nigeria,2019,85,5.265,0.696,1.111,0.245,0.426,0.041,0.215,0.0
85,Kyrgyzstan,2019,86,5.261,0.551,1.438,0.723,0.508,0.023,0.3,0.0
86,Turkmenistan,2019,87,5.247,1.052,1.538,0.657,0.394,0.028,0.244,0.0
87,Algeria,2019,88,5.211,1.002,1.16,0.785,0.086,0.114,0.073,0.0
88,Morocco,2019,89,5.208,0.801,0.782,0.782,0.418,0.076,0.036,0.0
89,Azerbaijan,2019,90,5.208,1.043,1.147,0.769,0.351,0.182,0.035,0.0
90,Lebanon,2019,91,5.197,0.987,1.224,0.815,0.216,0.027,0.166,0.0
91,Indonesia,2019,92,5.192,0.931,1.203,0.66,0.491,0.028,0.498,0.0
92,China,2019,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,0.0
93,Vietnam,2019,94,5.175,0.741,1.346,0.851,0.543,0.073,0.147,0.0
94,Bhutan,2019,95,5.082,0.813,1.321,0.604,0.457,0.167,0.37,0.0
95,Cameroon,2019,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,0.0
96,Bulgaria,2019,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,0.0
97,Ghana,2019,98,4.996,0.611,0.868,0.486,0.381,0.04,0.245,0.0
98,Ivory Coast,2019,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154,0.0
99,Nepal,2019,100,4.913,0.446,1.226,0.677,0.439,0.089,0.285,0.0
100,Jordan,2019,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,0.0
101,Benin,2019,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,0.0
102,Congo (Brazzaville),2019,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,0.0
103,Gabon,2019,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,0.0
104,Laos,2019,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266,0.0
105,South Africa,2019,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,0.0
106,Albania,2019,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,0.0
107,Venezuela,2019,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064,0.0
108,Cambodia,2019,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,0.0
109,Palestinian Territories,2019,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103,0.0
110,Senegal,2019,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153,0.0
111,Somalia,2019,112,4.668,0.0,0.698,0.268,0.559,0.27,0.243,0.0
112,Namibia,2019,113,4.639,0.879,1.313,0.477,0.401,0.056,0.07,0.0
113,Niger,2019,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188,0.0
114,Burkina Faso,2019,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,0.0
115,Armenia,2019,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,0.0
116,Iran,2019,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,0.0
117,Guinea,2019,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,0.0
118,Georgia,2019,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,0.0
119,Gambia,2019,120,4.516,0.308,0.939,0.428,0.382,0.167,0.269,0.0
120,Kenya,2019,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,0.0
121,Mauritania,2019,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,0.0
122,Mozambique,2019,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197,0.0
123,Tunisia,2019,124,4.461,0.921,1.0,0.815,0.167,0.055,0.059,0.0
124,Bangladesh,2019,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,0.0
125,Iraq,2019,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,0.0
126,Congo (Kinshasa),2019,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,0.0
127,Mali,2019,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,0.0
128,Sierra Leone,2019,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,0.0
129,Sri Lanka,2019,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244,0.0
130,Myanmar,2019,131,4.36,0.71,1.181,0.555,0.525,0.172,0.566,0.0
131,Chad,2019,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,0.0
132,Ukraine,2019,133,4.332,0.82,1.39,0.739,0.178,0.01,0.187,0.0
133,Ethiopia,2019,134,4.286,0.336,1.033,0.532,0.344,0.1,0.209,0.0
134,Swaziland,2019,135,4.212,0.811,1.149,0.0,0.313,0.135,0.074,0.0
135,Uganda,2019,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252,0.0
136,Egypt,2019,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,0.0
137,Zambia,2019,138,4.107,0.578,1.058,0.426,0.431,0.087,0.247,0.0
138,Togo,2019,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177,0.0
139,India,2019,140,4.015,0.755,0.765,0.588,0.498,0.085,0.2,0.0
140,Liberia,2019,141,3.975,0.073,0.922,0.443,0.37,0.033,0.233,0.0
141,Comoros,2019,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,0.0
142,Madagascar,2019,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,0.0
143,Lesotho,2019,144,3.802,0.489,1.169,0.168,0.359,0.093,0.107,0.0
144,Burundi,2019,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,0.0
145,Zimbabwe,2019,146,3.663,0.366,1.114,0.433,0.361,0.089,0.151,0.0
146,Haiti,2019,147,3.597,0.323,0.688,0.449,0.026,0.11,0.419,0.0
147,Botswana,2019,148,3.488,1.041,1.145,0.538,0.455,0.1,0.025,0.0
148,Syria,2019,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331,0.0
149,Malawi,2019,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,0.0
150,Yemen,2019,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108,0.0
151,Rwanda,2019,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217,0.0
152,Tanzania,2019,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276,0.0
153,Afghanistan,2019,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158,0.0
154,Central African Republic,2019,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235,0.0
155,South Sudan,2019,156,2.853,0.306,0.575,0.295,0.01,0.091,0.202,0.0
